               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052756,            0.037079,                   0,             0.78942,              0.8982,             0.88323,             0.69909,            0.027183,              0.0126,                   0,            0.070222,           0.0033086,           0.0033086
                   1,            0.032199,            0.021276,                   0,             0.99997,                   1,               0.995,              0.8193,            0.010795,           0.0083335,                   0,            0.040156,           0.0065762,           0.0065762
                   2,            0.024469,            0.016447,                   0,             0.99864,                   1,               0.995,             0.88308,            0.009187,           0.0081916,                   0,            0.010025,           0.0097778,           0.0097778
                   3,            0.018693,            0.014096,                   0,             0.99995,                   1,               0.995,             0.96821,           0.0061802,           0.0061119,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.015471,            0.012377,                   0,             0.99995,                   1,               0.995,              0.9597,           0.0053163,           0.0056242,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.013653,            0.011406,                   0,             0.99997,                   1,               0.995,              0.9854,           0.0040427,           0.0050267,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.012546,            0.010675,                   0,                   1,                   1,               0.995,             0.97758,           0.0046253,           0.0053507,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.011654,            0.010167,                   0,                   1,             0.99965,               0.995,             0.99017,            0.003484,           0.0048815,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.010809,           0.0098813,                   0,             0.99997,                   1,               0.995,             0.97045,           0.0035432,           0.0045579,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.010423,           0.0093298,                   0,             0.99998,                   1,               0.995,             0.99012,           0.0026947,           0.0042609,                   0,            0.009208,            0.009208,            0.009208
                  10,           0.0097476,           0.0089962,                   0,                   1,             0.99995,               0.995,             0.99185,           0.0028743,           0.0042145,                   0,            0.009109,            0.009109,            0.009109
                  11,           0.0093178,           0.0086097,                   0,             0.99997,                   1,               0.995,             0.99044,            0.002849,           0.0039736,                   0,             0.00901,             0.00901,             0.00901
                  12,           0.0088115,           0.0082014,                   0,             0.99998,                   1,               0.995,             0.99196,           0.0023627,           0.0040402,                   0,            0.008911,            0.008911,            0.008911
                  13,           0.0086836,           0.0080389,                   0,             0.99998,                   1,               0.995,             0.99427,           0.0022937,           0.0037804,                   0,            0.008812,            0.008812,            0.008812
                  14,           0.0083964,           0.0080529,                   0,             0.99998,                   1,               0.995,              0.9942,           0.0020823,           0.0033382,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.007932,           0.0077287,                   0,             0.99998,                   1,               0.995,             0.99408,           0.0021962,           0.0035992,                   0,            0.008614,            0.008614,            0.008614
                  16,           0.0077779,           0.0075683,                   0,             0.99995,                   1,               0.995,             0.99441,           0.0021803,           0.0034118,                   0,            0.008515,            0.008515,            0.008515
                  17,           0.0072858,           0.0072586,                   0,             0.99998,                   1,               0.995,             0.99405,           0.0020683,           0.0033753,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.007277,            0.007105,                   0,             0.99999,                   1,               0.995,             0.99483,           0.0019467,           0.0030865,                   0,            0.008317,            0.008317,            0.008317
                  19,           0.0071302,           0.0069994,                   0,             0.99998,                   1,               0.995,             0.99478,           0.0017038,           0.0029586,                   0,            0.008218,            0.008218,            0.008218
                  20,           0.0069321,           0.0069364,                   0,             0.99998,                   1,               0.995,             0.99461,           0.0016895,           0.0031185,                   0,            0.008119,            0.008119,            0.008119
                  21,           0.0069182,           0.0068842,                   0,             0.99998,                   1,               0.995,             0.99477,           0.0017223,             0.00292,                   0,             0.00802,             0.00802,             0.00802
                  22,           0.0066444,           0.0066895,                   0,             0.99998,                   1,               0.995,             0.99498,           0.0016358,           0.0028724,                   0,            0.007921,            0.007921,            0.007921
                  23,           0.0065722,             0.00658,                   0,             0.99999,                   1,               0.995,             0.99497,           0.0015718,           0.0028219,                   0,            0.007822,            0.007822,            0.007822
                  24,           0.0064609,           0.0066357,                   0,              0.9999,                   1,               0.995,             0.99496,           0.0016264,           0.0029001,                   0,            0.007723,            0.007723,            0.007723
                  25,           0.0063304,           0.0064569,                   0,             0.99999,                   1,               0.995,             0.99499,           0.0015705,           0.0029671,                   0,            0.007624,            0.007624,            0.007624
                  26,           0.0061626,           0.0063355,                   0,             0.99995,                   1,               0.995,             0.99496,            0.001524,           0.0029423,                   0,            0.007525,            0.007525,            0.007525
                  27,           0.0059833,           0.0062067,                   0,             0.99998,                   1,               0.995,             0.99498,            0.001454,           0.0027132,                   0,            0.007426,            0.007426,            0.007426
                  28,           0.0060265,           0.0062725,                   0,             0.99998,                   1,               0.995,             0.99499,           0.0014248,           0.0029501,                   0,            0.007327,            0.007327,            0.007327
                  29,           0.0058398,           0.0060767,                   0,             0.99999,                   1,               0.995,             0.99497,           0.0015056,           0.0025948,                   0,            0.007228,            0.007228,            0.007228
                  30,           0.0055886,           0.0059305,                   0,             0.99999,                   1,               0.995,             0.99499,           0.0013284,           0.0023843,                   0,            0.007129,            0.007129,            0.007129
                  31,           0.0056692,           0.0058764,                   0,             0.99999,                   1,               0.995,             0.99498,           0.0013512,           0.0024216,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.005574,           0.0058809,                   0,             0.99999,                   1,               0.995,               0.995,           0.0013007,            0.002314,                   0,            0.006931,            0.006931,            0.006931
                  33,           0.0055982,           0.0058911,                   0,             0.99999,                   1,               0.995,             0.99499,           0.0014647,           0.0027489,                   0,            0.006832,            0.006832,            0.006832
                  34,           0.0054565,           0.0057493,                   0,             0.99997,                   1,               0.995,               0.995,           0.0012789,           0.0025779,                   0,            0.006733,            0.006733,            0.006733
                  35,           0.0052163,           0.0056151,                   0,             0.99998,                   1,               0.995,               0.995,           0.0012808,           0.0023729,                   0,            0.006634,            0.006634,            0.006634
                  36,           0.0052182,           0.0055486,                   0,             0.99999,                   1,               0.995,               0.995,           0.0011928,           0.0022245,                   0,            0.006535,            0.006535,            0.006535
                  37,           0.0052137,           0.0055359,                   0,             0.99998,                   1,               0.995,               0.995,           0.0012063,           0.0024536,                   0,            0.006436,            0.006436,            0.006436
                  38,           0.0051565,            0.005514,                   0,             0.99998,                   1,               0.995,               0.995,           0.0012517,            0.002297,                   0,            0.006337,            0.006337,            0.006337
                  39,           0.0051117,            0.005505,                   0,             0.99999,                   1,               0.995,             0.99499,           0.0011927,           0.0023744,                   0,            0.006238,            0.006238,            0.006238
                  40,           0.0049893,           0.0053601,                   0,             0.99999,                   1,               0.995,               0.995,           0.0011587,           0.0023811,                   0,            0.006139,            0.006139,            0.006139
                  41,           0.0048441,              0.0053,                   0,             0.99998,                   1,               0.995,               0.995,           0.0011141,           0.0023809,                   0,             0.00604,             0.00604,             0.00604
                  42,           0.0047729,           0.0052395,                   0,             0.99998,                   1,               0.995,               0.995,           0.0011103,           0.0022459,                   0,            0.005941,            0.005941,            0.005941
                  43,           0.0047845,           0.0052823,                   0,             0.99998,                   1,               0.995,             0.99499,           0.0011089,           0.0020915,                   0,            0.005842,            0.005842,            0.005842
                  44,           0.0046095,           0.0050352,                   0,             0.99998,                   1,               0.995,               0.995,           0.0010338,           0.0020588,                   0,            0.005743,            0.005743,            0.005743
                  45,           0.0045123,           0.0050658,                   0,             0.99999,                   1,               0.995,               0.995,           0.0010646,           0.0021671,                   0,            0.005644,            0.005644,            0.005644
                  46,           0.0045493,           0.0050398,                   0,             0.99998,                   1,               0.995,               0.995,           0.0010324,           0.0019917,                   0,            0.005545,            0.005545,            0.005545
                  47,           0.0044511,           0.0049774,                   0,             0.99999,                   1,               0.995,               0.995,           0.0010484,           0.0021536,                   0,            0.005446,            0.005446,            0.005446
                  48,           0.0044781,           0.0049862,                   0,             0.99999,                   1,               0.995,               0.995,           0.0010207,           0.0020812,                   0,            0.005347,            0.005347,            0.005347
                  49,           0.0043885,           0.0049142,                   0,             0.99999,                   1,               0.995,               0.995,           0.0010096,           0.0020702,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.004233,           0.0047814,                   0,             0.99995,                   1,               0.995,               0.995,           0.0010069,           0.0022546,                   0,            0.005149,            0.005149,            0.005149
